Row,Private_Peak_Rail,Private_Peak_Bus,Private_Peak_Air,Private_Peak_Car,Private_Offpeak_Rail,Private_Offpeak_Bus,Private_Offpeak_Air,Private_Offpeak_Car,Business_Peak_Rail,Business_Peak_Bus,Business_Peak_Air,Business_Peak_Car,Business_Offpeak_Rail,Business_Offpeak_Bus,Business_Offpeak_Air,Business_Offpeak_Car
FirstWaitTimePeakAir,0.236748918626538,0.236748918626527,-1.20619729908356,0.236748918626529,0.0806657246923855,0.0806657246923741,0.08066572469239,0.0806657246923759,0.765673579819203,0.765673579819216,-1.4263174094996,0.765673579819216,0.368218563361368,0.368218563361364,0.368218563361366,0.368218563361368
FrequencyWaitTimePeakAir,0.0245931336176961,0.0245931336177042,-0.125331284658209,0.0245931336176934,0.0083871537966218,0.00838715379661467,0.00838715379661662,0.00838715379660795,0.11763165913172,0.117631659131745,-0.219147812147763,0.117631659131725,0.0566681828061288,0.0566681828061378,0.0566681828061263,0.056668182806125
InVehPeakAir,0.189574753526414,0.189574753526402,-0.965909547864995,0.18957475352642,0.0646056296020232,0.0646056296020237,0.0646056296020358,0.0646056296020338,0.612943896812479,0.612943896812472,-1.14183340319921,0.612943896812466,0.294889900577552,0.294889900577567,0.294889900577556,0.294889900577556
ASCPrivatePeakCar,-0.458914779203068,-0.458914779203068,-0.458914779203089,2.35460133579927,-0.15683602545963,-0.156836025459641,-0.15683602545964,-0.156836025459653,0,0,0,0,0,0,0,0
CostPrivatePeakCar,0.679393565584153,0.679393565584175,0.679393565584167,-3.48087773856086,0.231041680976687,0.231041680976682,0.231041680976671,0.23104168097667,0,0,0,0,0,0,0,0
InVehPeakCar,1.1106430210288,1.11064302102881,1.11064302102882,-5.68734380200374,0.376994517636248,0.376994517636249,0.37699451763625,0.376994517636256,0.768746871801513,0.768746871801536,0.7687468718015,-9.32699057300449,0.369693501270848,0.369693501270847,0.369693501270841,0.369693501270853
ASCPrivateOffpeakRail,0.0882901587977118,0.0882901587977057,0.0882901587977087,0.0882901587977097,-0.448255472842182,0.271655163260898,0.271655163260905,0.271655163260896,0,0,0,0,0,0,0,0
CostPrivateOffpeakRail,0.459617747264099,0.459617747264088,0.459617747264083,0.459617747264081,-2.3406308337546,1.42155059750474,1.42155059750473,1.42155059750472,0,0,0,0,0,0,0,0
DiscomfortPrivateOffpeakRail,0.367671529222014,0.367671529222016,0.367671529222,0.367671529222016,-1.87097494326459,1.135704560818,1.135704560818,1.13570456081797,0,0,0,0,0,0,0,0
FirstWaitTimeOffpeakRail,0.018865985442288,0.0188659854422981,0.0188659854422934,0.0188659854422996,-0.0957295910139694,0.0579913674448653,0.0579913674448672,0.0579913674448516,0.0132744881753817,0.0132744881753974,0.0132744881753737,0.0132744881753906,-0.257323069791528,0.203568598888842,0.203568598888861,0.20356859888883
ASCPrivateOffpeakBus,0.11863438861291,0.11863438861291,0.118634388612899,0.118634388612909,0.365174714611685,-3.90294062401905,0.365174714611678,0.365174714611668,0,0,0,0,0,0,0,0
CostPrivateOffpeakBus,0.0496956053936914,0.0496956053936866,0.0496956053936827,0.049695605393688,0.152823143793278,-1.63379982749377,0.152823143793268,0.152823143793231,0,0,0,0,0,0,0,0
FirstWaitTimeOffpeakBus,0.00196734196338793,0.00196734196339711,0.00196734196338944,0.00196734196339249,0.00604590153060789,-0.0646476613299351,0.00604590153059822,0.00604590153058846,0.000176457016844136,0.000176457016850459,0.00017645701683437,0.000176457016843677,0.00270128571961128,-0.600909909196493,0.00270128571962579,0.00270128571961122
InVehOffpeakBus,0.0807610009239947,0.0807610009239769,0.0807610009239886,0.0807610009239829,0.248462929875305,-2.65593798581821,0.248462929875277,0.248462929875277,0.00338858413744947,0.00338858413746769,0.00338858413744604,0.00338858413745569,0.0518963086541964,-11.5421881786616,0.0518963086542103,0.0518963086542117
ASCPrivateOffpeakAir,-0.0348743722677551,-0.0348743722677681,-0.0348743722677679,-0.0348743722677567,-0.107118352700963,-0.107118352700998,0.564332631036071,-0.107118352701001,0,0,0,0,0,0,0,0
AccessTimePrivateOffpeakAir,0.0612384632675076,0.0612384632675027,0.0612384632674888,0.0612384632675051,0.188349972690129,0.188349972690102,-0.991875328758476,0.188349972690099,0,0,0,0,0,0,0,0
CostPrivateOffpeakAir,0.214984338669483,0.214984338669482,0.214984338669473,0.214984338669485,0.662647907156742,0.662647907156736,-3.48728064393461,0.66264790715673,0,0,0,0,0,0,0,0
FirstWaitTimeOffpeakAir,0.0748548784165802,0.0748548784165813,0.0748548784165855,0.0748548784165693,0.230273587672204,0.230273587672188,-1.21257941517999,0.230273587672174,0.00380164206877869,0.00380164206878709,0.00380164206877683,0.00380164206877883,0.0582255260751468,0.0582255260751421,-2.11837609795566,0.0582255260751497
FrequencyWaitTimeOffpeakAir,0.0107745690402518,0.0107745690402581,0.0107745690402423,0.0107745690402499,0.0331157514927183,0.0331157514927104,-0.17442973245958,0.0331157514927074,0.00081324650282133,0.000813246502834789,0.000813246502805008,0.000813246502807034,0.0124506143518567,0.012450614351828,-0.453067985827219,0.0124506143518618
InVehOffpeakAir,0.0599524224302326,0.0599524224302278,0.0599524224302329,0.0599524224302397,0.184391203672227,0.184391203672214,-0.971033315945329,0.184391203672218,0.00304780041853315,0.00304780041854747,0.00304780041852052,0.00304780041853662,0.0466750635124956,0.0466750635124838,-1.69822601525064,0.046675063512498
ASCPrivateOffpeakCar,-0.0463900252909384,-0.0463900252909615,-0.0463900252909568,-0.0463900252909365,-0.142466310477122,-0.142466310477129,-0.142466310477125,1.05602989799776,0,0,0,0,0,0,0,0
CostPrivateOffpeakCar,0.16039014874018,0.160390148740188,0.160390148740177,0.16039014874018,0.493993981259079,0.493993981259067,0.49399398125907,-3.65861624604456,0,0,0,0,0,0,0,0
InVehOffpeakCar,0.218981893010303,0.218981893010278,0.218981893010285,0.218981893010289,0.675007396137099,0.675007396137092,0.67500739613708,-4.99803456243591,0.0344283314066217,0.0344283314066436,0.0344283314066235,0.0344283314066193,0.529470158192344,0.529470158192353,0.529470158192353,-7.93662952614087
ASCBusinessPeakRail,0,0,0,0,0,0,0,0,2.95804125500456,-3.45646140758858,-3.45646140758864,-3.45646140758861,-1.68137813180095,-1.68137813180097,-1.68137813180096,-1.68137813180097
CostBusinessPeakRail,0,0,0,0,0,0,0,0,-2.473422626552,2.89393493949407,2.89393493949405,2.89393493949408,1.3838926267159,1.3838926267159,1.3838926267159,1.38389262671589
DiscomfortBusinessPeakRail,0,0,0,0,0,0,0,0,-2.93291385824872,3.43190970255411,3.4319097025541,3.43190970255412,1.63883973411689,1.63883973411689,1.6388397341169,1.63883973411689
ASCBusinessPeakBus,0,0,0,0,0,0,0,0,-0.00288129490637216,4.75469491973053,-0.00288129490639982,-0.00288129490637049,-0.00138849144717146,-0.001388491447187,-0.00138849144717982,-0.00138849144717802
CostBusinessPeakBus,0,0,0,0,0,0,0,0,0.000847845235787609,-1.39910844094755,0.000847845235760937,0.000847845235809696,0.00040857118497404,0.000408571184961813,0.000408571184970819,0.000408571184954938
ASCBusinessPeakAir,0,0,0,0,0,0,0,0,-3.68410809984487,-3.68410809984487,6.86732465549238,-3.68410809984484,-1.79324071983089,-1.79324071983089,-1.79324071983089,-1.79324071983088
AccessCostBusinessAir,0,0,0,0,0,0,0,0,0.582537472517067,0.582537472517097,-1.07691853474748,0.582537472517093,0.323169685093395,0.323169685093395,-1.33200715559065,0.323169685093411
AccessTimeBusinessPeakAir,0,0,0,0,0,0,0,0,0.184221117047248,0.184221117047285,-0.343200700326848,0.184221117047256,0.0887313177877504,0.0887313177877394,0.0887313177877464,0.08873131778774
CostBusinessPeakAir,0,0,0,0,0,0,0,0,3.41394748647371,3.41394748647374,-6.35721510600147,3.41394748647374,1.63033892749663,1.63033892749662,1.63033892749662,1.63033892749662
ASCBusinessPeakCar,0,0,0,0,0,0,0,0,-0.611905834026934,-0.611905834026929,-0.611905834026961,7.42512219863938,-0.29536000798445,-0.295360007984458,-0.295360007984447,-0.295360007984441
CostBusinessPeakCar,0,0,0,0,0,0,0,0,0.355177162732016,0.355177162732027,0.355177162731997,-4.30944503416461,0.170995093046647,0.170995093046643,0.170995093046648,0.170995093046653
ASCBusinessOffpeakRail,0,0,0,0,0,0,0,0,-0.0356005507764003,-0.0356005507763987,-0.0356005507764187,-0.0356005507764006,0.689355476176982,-0.542394447336133,-0.542394447336122,-0.542394447336134
CostBusinessOffpeakRail,0,0,0,0,0,0,0,0,0.152269558509051,0.152269558509074,0.152269558509048,0.152269558509043,-2.96111121275793,2.37940650005493,2.37940650005496,2.37940650005495
DiscomfortBusinessOffpeakRail,0,0,0,0,0,0,0,0,0.164161146610427,0.164161146610435,0.16416114661041,0.164161146610436,-3.19324578562329,2.56939797972174,2.56939797972174,2.56939797972173
ASCBusinessOffpeakBus,0,0,0,0,0,0,0,0,0.000183439999541536,0.000183439999535505,0.000183439999517193,0.000183439999537694,0.00280818707413819,-0.624690195219927,0.00280818707414716,0.00280818707413487
CostBusinessOffpeakBus,0,0,0,0,0,0,0,0,0.000409272360157992,0.000409272360147835,0.000409272360136509,0.000409272360157241,0.00626552588044237,-1.39376660482065,0.00626552588044539,0.00626552588043024
ASCBusinessOffpeakAir,0,0,0,0,0,0,0,0,-0.00598286571677816,-0.00598286571675004,-0.00598286571677171,-0.00598286571676591,-0.091513096118177,-0.0915130961181911,3.33153532549513,-0.0915130961181883
AccessTimeBusinessOffpeakAir,0,0,0,0,0,0,0,0,0.000919817724415511,0.000919817724447449,0.000919817724419097,0.000919817724435413,0.0140823956353626,0.014082395635352,-0.512443723068295,0.0140823956353696
CostBusinessOffpeakAir,0,0,0,0,0,0,0,0,0.0165296298796109,0.0165296298796288,0.0165296298796186,0.0165296298796202,0.253597848334979,0.253597848334984,-9.21895618200826,0.253597848334972
ASCBusinessOffpeakCar,0,0,0,0,0,0,0,0,-0.00504756804310218,-0.00504756804308066,-0.00504756804309814,-0.00504756804308777,-0.0772165614606441,-0.0772165614606558,-0.0772165614606315,1.1604953299301
CostBusinessOffpeakCar,0,0,0,0,0,0,0,0,0.0189781952313526,0.0189781952313639,0.0189781952313333,0.0189781952313437,0.291259361496055,0.291259361496044,0.291259361496059,-4.37039186366949
